ID	X1	X2	ROW	COL
1275	1	4	4	15
1276	1	4	4	16
1277	1	4	4	17
1278	1	4	4	18
1279	1	4	4	19
1280	1	4	4	20
1281	1	4	4	21
1282	1	4	5	1
1283	1	4	5	2
1284	1	4	5	3
1285	1	4	5	4
1286	1	4	5	5
1287	1	4	5	6
1288	1	4	5	7
1289	1	4	5	8
1290	1	4	5	9
1291	1	4	5	10
1292	1	4	5	11
1293	1	4	5	12
1294	1	4	5	13
1295	1	4	5	14
1296	1	4	5	15
1297	1	4	5	16
1298	1	4	5	17
1299	1	4	5	18
1300	1	4	5	19
1301	1	4	5	20
1302	1	4	5	21
1303	1	4	6	1
1304	1	4	6	2
1305	1	4	6	3
1306	1	4	6	4
1307	1	4	6	5
1308	1	4	6	6
1309	1	4	6	7
1310	1	4	6	8
1311	1	4	6	9
1312	1	4	6	10
1313	1	4	6	11
1314	1	4	6	12
1315	1	4	6	13
1316	1	4	6	14
1317	1	4	6	15
1318	1	4	6	16
1319	1	4	6	17
1320	1	4	6	18
1321	1	4	6	19
1322	1	4	6	20
1323	1	4	6	21
1324	1	4	7	1
1325	1	4	7	2
1326	1	4	7	3
1327	1	4	7	4
1328	1	4	7	5
1329	1	4	7	6
1330	1	4	7	7
1331	1	4	7	8
1332	1	4	7	9
1333	1	4	7	10
1334	1	4	7	11
1335	1	4	7	12
1336	1	4	7	13
1337	1	4	7	14
1338	1	4	7	15
1339	1	4	7	16
1340	1	4	7	17
1341	1	4	7	18
1342	1	4	7	19
1343	1	4	7	20
1344	1	4	7	21
1345	1	4	8	1
1346	1	4	8	2
1347	1	4	8	3
1348	1	4	8	4
1349	1	4	8	5
1350	1	4	8	6
1351	1	4	8	7
1352	1	4	8	8
1353	1	4	8	9
1354	1	4	8	10
