protein,strain_1,strain_2,strain_3,strain_4,overall_mean,posterior_max
Prot132,0.7892673491564098,3.8993820207056467,2.010127591307098,1.8668108045019707,2.1413969414177814,0.9999997354908204
Prot1605,2.1739530279020864,2.691363320688785,2.932080511193837,0.7524100609972747,2.1374517301954956,0.999976187354853
Prot568,1.6298719686309948,3.1595935136186077,0.34504754649230046,3.3346204412590112,2.1172833675002285,0.9995772838647707
Prot293,1.1240971107866866,3.289732004407424,0.3565793875056713,3.6648656700510087,2.108818543187698,0.9995210416779535
Prot1171,2.2604995506754793,1.8521543747464437,1.6271549614705538,2.5119965606622054,2.0629513618886706,0.9416756133801338
Prot1963,3.4044808282464984,1.9779278544267498,0.29678951955268723,2.5205539281455764,2.049938032592878,0.993057375083453
Prot1903,2.2484585411238234,2.339280898335623,0.9899517314492035,2.6138014225446073,2.047873148363314,0.9933128441646999
Prot189,2.4296082289365617,2.0718151887057203,1.5350014445452584,2.1102427749090125,2.0366669092741385,0.9888593638554501
Prot1965,1.3849008536792995,3.0162887150645337,0.47997802043882326,3.248957518006533,2.032531276797297,0.9990784625982264
Prot220,1.4150787364757373,3.324825940502501,0.23973077834875223,3.1312441778290783,2.027719908289017,0.9998924032378917
Prot1899,2.697754874212458,2.189945545935694,1.3880962688291303,1.8137363393956554,2.0223832570932343,0.9976933472111178
Prot2306,1.5913734606643928,2.6735707978350542,1.7601560892901131,2.0470817721916226,2.018045529995296,0.9280878491662828
Prot91,3.0519707376602034,1.8079920424114426,1.4894144083380247,1.6261496721251067,1.9938817151336943,0.9941901894955127
Prot186,1.697132381915024,2.080054851909693,1.7122973486549065,2.442935044589682,1.9831049067673265,0.8080632443397386
Prot933,2.2950986431686036,2.1144179731242008,1.9750830651070872,1.456713669758231,1.9603283377895306,0.9964988102563688
Prot2232,1.7979021475869859,3.0343087309764276,0.10547142064720998,2.8767996359991863,1.9536204838024527,0.9997186194069306
Prot1978,1.2017966392991606,3.3702400147339038,0.11502055654906793,3.0604637091968936,1.9368802299447565,0.9999303310758781
Prot336,2.9818522674781933,2.1573311924337464,0.2941127592235466,2.2994463287496605,1.9331856369712868,0.9965251930644817
Prot1997,1.1594659124338837,3.102523329114502,0.3487435050704504,3.0918472914504966,1.925645009517333,0.9995805024949002
Prot1173,2.411745606710541,2.535709940512298,0.23736523812770557,2.402174024753227,1.8967487025259429,0.9988752974889273
Prot851,2.348336981374459,2.459240986328522,1.433041850879664,1.3065441909926905,1.886791002393834,0.9995191193776453
Prot251,1.6331349205054628,2.3379832949858375,1.8884989220238364,1.6454815546640849,1.8762746730448052,0.9381717847810362
