"","male.white.0.9","female.white.0.9","male.all.0.9","female.all.0.9","male.white.10.14","female.white.10.14","male.all.10.14","female.all.10.14","male.white.15.19","female.white.15.19","male.all.15.19","female.all.15.19","male.white.20.24","female.white.20.24","male.all.20.24","female.all.20.24","male.white.25.34","female.white.25.34","male.all.25.34","female.all.25.34","male.white.35.44","female.white.35.44","male.all.35.44","female.all.35.44","male.white.45.54","female.white.45.54","male.all.45.54","female.all.45.54","male.white.55.64","female.white.55.64","male.all.55.64","female.all.55.64","male.white.65.74","female.white.65.74","male.all.65.74","female.all.65.74","male.white.75.","female.white.75.","male.all.75.","female.all.75."
"6424",1046,570,1092.504,619.112,247,322,266.623,339.321,409,388,435.701,434.569,302,212,409.689,232.167,571,606,572.264,642.924,975,1009,1118.516,1059.634,1109,1182,1125.019,1190.6,814,678,864.899,708.407,408,313,461.713,321.462,151,370,169.078,386.945
"6426",116,125,116.209,124.747,78,86,77.963,86.093,60,21,60.311,21.084,14,0,14.71,8.785,60,74,58.84,73.794,224,168,225.063,168.672,194,249,194.172,267.064,313,398,325.091,412.895,182,242,182.404,242.466,218,353,216.237,353.157
"6437",1075,1108,1220.598,1211.184,766,778,824.439,791.928,574,803,588.885,815.22,344,261,342.624,267.858,689,853,717.369,966.618,1241,1202,1338.375,1304.352,1934,2035,2045.037,2084.634,1631,1955,1713.12,2014.758,1255,1139,1284.84,1164.6,616,975,642.42,1001.556
"6438",238,187,238.35,187.868,78,56,125.304,56.08,42,67,88.53,78.512,88,21,95.34,36.452,73,116,73.548,116.366,294,220,294.192,280.4,130,255,130.752,255.164,173,194,185.232,194.878,54,126,54.48,126.18,77,74,76.272,74.306
"6441",228,322,227.484,321.784,211,133,212.148,147.022,214,292,214.704,291.27,90,103,89.46,102.638,197,225,217.26,224.694,376,436,375.732,446.614,551,463,552.096,474.354,341,423,360.396,424.422,200,193,199.368,191.406,108,135,107.352,149.796
"6442",121,152,120.224,207.24,107,181,107.508,199.39,27,84,26.588,84.78,11,0,11.56,0,15,97,41.616,97.34,194,174,194.208,200.96,232,366,231.2,365.81,273,209,272.816,208.81,118,105,117.912,105.19,31,102,31.212,100.48
"6443",954,1026,1045.008,1063.104,1025,683,1053.864,686.784,749,675,788.184,705.6,192,332,194.832,329.28,307,440,363.096,460.992,1032,1065,1080.432,1128.96,1789,1755,1850.904,1891.008,1093,1111,1115.856,1157.184,669,916,717.336,931.392,639,1035,646.488,1053.696
"6444",0,45,0,45.024,0,0,0,0,0,14,0,13.936,0,0,0,0,26,26,25.992,25.996,0,16,0,15.946,0,0,0,0,9,10,9.006,10.05,22,23,22.002,23.048,0,0,0,0
"6447",333,419,362.85,433.217,248,231,249.075,261.253,291,210,292.125,224.876,37,90,36.9,89.289,231,251,233.7,284.402,393,440,390.525,469.594,569,655,584.25,654.786,489,473,513.525,472.901,279,201,298.275,221.569,110,196,113.775,195.113
"6450",1331,1205,2173.442,2053.744,661,525,1344.587,916.85,832,684,1178.816,1155.231,824,705,1123.559,1081.883,2144,1803,2818.107,2695.539,1629,1639,2486.565,2438.821,2249,2124,2836.526,2713.876,1979,1930,2210.28,2200.44,949,1203,1160.397,1430.286,955,1551,1068.302,1668.667
